homograph	wordid	sentence	start	end
contest	contest_nou	The contest included each skater's time from the 1500 metres and 5000 metres competitions that were raced during the weekend.	4	11
contest	contest_nou	France participated at the Eurovision Song Contest 2001, held in Copenhagen, Denmark.	43	50
contest	contest_nou	"It was succeeded as Yugoslav representative at the 1988 contest by Srebrna Krila with ""Mangup""."	56	63
contest	contest_nou	This contest is done annually on that weeklong celebration of the Tacloban City Fiesta.	5	12
contest	contest_nou	In 2001 and 2002 Chai won honorable mention in the Stony Brook Short fiction contest.	77	84
contest	contest_nou	Ukraine participated in the Eurovision Song Contest 2013 in Malmo, Sweden.	44	51
contest	contest_nou	He entered the House of Commons for Pontefract in 1847 as a Liberal, after a closely fought contest.	92	99
contest	contest_nou	Howard was the first prize fiddler at the inaugural Tri-State Bluegrass Association fiddle contest in 1982.	91	98
contest	contest_nou	Belarus won the Contest by a single point over Armenia.	16	23
contest	contest_nou	He was eliminated from the contest and gave his support to Grossman, a fellow Red Tory.	27	34
contest	contest_nou	But during the contest the mind-patch fails, as his mind rejects it.	15	22
contest	contest_nou	This led people to believe it was an acronym, and then to a contest to come up with an expansion.	60	67
contest	contest_nou	He was elected without a contest as the only candidate, becoming President of Ireland on 3 December 1976.	25	32
contest	contest_nou	"The judges then realized that ""numskull"" was an acceptable spelling, and the contest continued."	77	84
contest	contest_nou	Following the introduction of semi-finals for the 2004 contest, Croatia had featured in six finals.	55	62
contest	contest_nou	Thirty-nine countries participated in the 2005 Contest.	47	54
contest	contest_vrb	In the National Assembly elections several UDPM candidates were able to contest each seat.	72	79
contest	contest_vrb	It did not contest the 1937 partial elections in the north of the country.	11	18
contest	contest_vrb	It respects the right of citizen to contest policies.	36	43
contest	contest_vrb	When the CPC emerged, Musa chose to contest for the Niger north senate seat on that platform.	36	43
contest	contest_vrb	13 teams will contest the Hotel Kilmore Intermediate Football Championship.	14	21
contest	contest_vrb	Bottomley decided not to re-contest Eltham after major boundary changes, but sought nomination elsewhere.	28	35
contest	contest_vrb	He left the position to contest unsuccessfully for the Republican gubernatorial nomination in 1990.	24	31
contest	contest_vrb	Former Sport MAXX champion Leyton Clarke will contest the British GT4 Championship this season for the factory assisted Lotus squad.	46	53
contest	contest_vrb	After being dismissed by Harding, Hunt returned to Arizona and decided to contest his old seat.	74	81
contest	contest_vrb	He did no contest the seat in 1807, but was re-elected at the 1812 general election.	10	17
contest	contest_vrb	The winners of the Clare county final join the champions of the other hurling counties to contest the provincial championship.	90	97
contest	contest_vrb	Others contest such proposals, and suggest Shiva to have emerged from indigenous pre-Aryan tribal origins.	7	14
converse	converse_adj-nou	She then struts across the road and performs her famous matrix move in custom designed Converse heels.	87	95
converse	converse_adj-nou	Current manufacturers are Altama, Bates, Belleville Boot, McRae, Rocky, Warson Brands/Converse and Wellco.	86	94
converse	converse_adj-nou	They also performed as part of the Big Day Out 2009 festival, headlining the Converse Essential stage.	77	85
converse	converse_adj-nou	Objects can have other colors, of course, so, the converse of our statement is false.	50	58
converse	converse_adj-nou	Indeed, very weak assumptions suffice to obtain such a kind of converse.	63	71
converse	converse_adj-nou	Scott Converse, How the OneNet Started, OneNet.	6	14
converse	converse_adj-nou	Converse Lake is a 100-acre lake located on the border of Connecticut and New York in the United States.	0	8
converse	converse_adj-nou	Every differential surface is a topological surface, but the converse is false.	61	69
converse	converse_adj-nou	One such conversation was written down and later known as Athrabeth Finrod ah Andreth, 'Converse of Finrod and Andreth'.	88	96
converse	converse_adj-nou	Her work has been commissioned by such companies as Nike, Converse, Sprint, Target Corp, The Gap and MTV2.	58	66
converse	converse_adj-nou	"In the words of Asa Mahan, ""The original proposition is called the exposita; when converted, it is denominated the converse."	115	123
converse	converse_adj-nou	Every outerplanar graph is planar, but the converse is not true: K₄ is planar but not outerplanar.	43	51
converse	converse_adj-nou	"The Eleventh Doctor, upon meeting his previous self, referred to his Converse trainers as ""sand-shoes."""	69	77
converse	converse_adj-nou	In fact, for any infinite cardinal κ, every κ-Suslin tree is a κ-Aronszajn tree (the converse does not hold).	88	96
converse	converse_adj-nou	The aspiring media practitioner now models for Converse and Assets, and represented Ireland at Miss World 2009 in South Africa.	47	55
converse	converse_adj-nou	In descending order of land area the grassland is located in Weston, Converse, Campbell, Niobrara, and Crook counties.	69	77
converse	converse_adj-nou	For many years Converse served as its president.	15	23
converse	converse_adj-nou	But the court did not address the converse of that proposition, namely, that large-lot zoning tends to promote urban sprawl.	34	42
converse	converse_adj-nou	It is believed that Thad Miller spent most of his childhood in the Converse area.	67	75
converse	converse_adj-nou	EBL-like techniques have also been applied to surface generation, the converse of parsing.	70	78
converse	converse_adj-nou	Afterwards, Converse turned against Stutts and hit him with his finisher.	12	20
converse	converse_adj-nou	The converse of Schur's lemma is not true in general.	4	12
converse	converse_adj-nou	Converse is an unincorporated community in Clinton County, in the U.S. state of Missouri.	0	8
converse	converse_adj-nou	The converse is true in dimension 2, but not in higher dimensions.	4	12
converse	converse_adj-nou	Hyperthyroidism may be associated with hypocholesterolaemia via upregulation of the LDL receptor, and hypothyroidism with the converse.	126	134
converse	converse_adj-nou	Commander of the garrison, Captain James Converse, successfully repelled the raid despite being greatly outnumbered.	41	49
converse	converse_adj-nou	Runner uniforms were provided by Levi Strauss with Converse supplying the shoes.	51	59
converse	converse_adj-nou	The Bundesrat could be called together for the preparation of business without the Reichstag, but not the converse.	106	114
converse	converse_adj-nou	Edwards tendered his letter of resignation on January 6, 2012 to the Converse County Commission after diagnosis for Alzheimer's disease.	69	77
converse	converse_adj-nou	"Converse proposed the use of the gender-neutral pronoun, ""Thon""."	0	8
converse	converse_adj-nou	In 2012 she performed in Mexico City at the Converse Festival.	44	52
converse	converse_adj-nou	As well, converse observations, as well as some historical events, have proven that this viewpoint is outdated and, overall, unsupported.	9	17
converse	converse_adj-nou	Disjoint complements are always bands, but the converse is not true in general.	47	55
converse	converse_adj-nou	Quite the converse since there are diverse harmonic options in many ragas which can be explored and employed appropriately.	10	18
converse	converse_adj-nou	Epstein F, Ransohoff J, Wood-Smith D, Converse JM.	38	46
converse	converse_adj-nou	"This converse phenomenon is known as ""salting in""."	5	13
converse	converse_adj-nou	Converse to selection by sorting, one can incrementally sort by repeated selection.	0	8
converse	converse_adj-nou	Converse was already married with children when he married La Marr and was arrested for bigamy the following day.	0	8
converse	converse_adj-nou	SQLJ parts 1 and 2 describes the converse possibility to use Java classes (routines and types) from SQL statements.	33	41
converse	converse_adj-nou	Converse R. Lewis, reviewed his troops in farewell to his command at Kearns.	0	8
converse	converse_adj-nou	All of the wrestlers are wearing Converse shoes.	33	41
converse	converse_adj-nou	Semantic completeness is the converse of soundness for formal systems.	29	37
converse	converse_adj-nou	This theorem and its converse have various uses.	21	29
converse	converse_adj-nou	Although the converse statement is not true in general, some special cases are known.	13	21
converse	converse_adj-nou	So the converse to 1 and 2 above hold true.	7	15
converse	converse_adj-nou	After his career ended, he went to work with the Converse shoe company, particularly with the Converse All-Star.	49	57
converse	converse_adj-nou	Carter is also believed to have designed the Converse House to which the c. 1738 ell is attached.	45	53
converse	converse_adj-nou	Partners and sponsors included Bacardi, Converse and Neocha.com.	40	48
converse	converse_adj-nou	The entanglement-assisted classical capacity theorem is proved in two parts: the direct coding theorem and the converse theorem.	111	119
converse	converse_adj-nou	This unspoken proposition should be inserted after the first proposition and is merely its negative converse.	100	108
converse	converse_vrb	The two of them would converse animatedly with each other in fluent French, to the confusion of those around them.	22	30
converse	converse_vrb	"It is also possible through the rare Priori Incantatem effect to converse with ghost-like ""shadows"" of magically murdered people."	65	73
converse	converse_vrb	He travels to the hometown of the Hamilton's to converse with Maurice Oakley.	48	56
converse	converse_vrb	He is without consideration and mercy, unwilling to converse, fanatic and extremist to enforce his opinion on a matter.	52	60
converse	converse_vrb	Zumbl was an online chat service where users could converse with strangers anonymously.	51	59
converse	converse_vrb	When Jean arrives, Bateman, unbeknownst to her, holds a nailgun to the back of her head while the two converse.	102	110
converse	converse_vrb	As the detective and district attorney converse about Billy's case, the movie is told in flashback.	39	47
converse	converse_vrb	They do not attempt to converse with their partner during a song.	23	31
converse	converse_vrb	Most Gibraltarians converse in Llanito, an Andalusian Spanish based vernacular.	19	27
converse	converse_vrb	The MQF contained living and sleeping facilities as well as communications which the astronauts used to converse with their families.	104	112
converse	converse_vrb	The course also allows students to converse with policymakers, including senators, former congressmen, and White House press secretaries.	35	43
converse	converse_vrb	He also argued that Kripal was unable even to converse in Bengali.	46	54
converse	converse_vrb	Curiosity led them to hear and converse with the master.	31	39
converse	converse_vrb	They spoke Pashto among each other but gradually lost their language over time and now converse in Urdu.	87	95
converse	converse_vrb	There is a long-standing connection with Punch and Judy street puppet performers who traditionally used Polari to converse.	114	122
converse	converse_vrb	Many educated Gibraltarians are able to converse in Received Pronunciation.	40	48
converse	converse_vrb	She appears to him again and they converse about all the events Madge has missed and Daniel's wedding.	34	42
converse	converse_vrb	It would periodically emerge from the amulet and converse with Pandemonium.	49	57
converse	converse_vrb	"Bennet, Claude, and Kaito Nakamura converse in Japanese, and Mr. Nakamura says of the baby, ""She belongs to us."	35	43
converse	converse_vrb	Of those, 18.9% identified with no other iwi, and 21.9% could converse in the Maori language.	62	70
converse	converse_vrb	Parikshit and Dharma converse about the coming of Kaliyuga.	21	29
converse	converse_vrb	Jack modifies the Null Field to target sound, so he can converse with Rex and Esther without being overheard.	56	64
converse	converse_vrb	He liked to serve such saints, and to keep their company (Satsang) and to converse with them.	74	82
converse	converse_vrb	The people here converse well in Tamil, Cantonese, Mandarin and Bahasa Melayu.	16	24
converse	converse_vrb	The salons allowed people of varying social classes to converse but never as equals.	55	63
converse	converse_vrb	In this club, Englishmen and England-educated Peruvians meet and converse in English.	65	73
converse	converse_vrb	All instruction was given in Latin and students were expected to be able to converse in that language.	76	84
converse	converse_vrb	In his visits he would stop by Maytham's store to converse with him.	50	58
converse	converse_vrb	Roy L. Day Jr., spoke Japanese and was able to converse with some of the North Koreans.	47	55
converse	converse_vrb	Clients also expected them to be well-read and able to converse and write with wit and elegance.	55	63
convert	convert_nou	A Nation challenged-the convert; Shoe-Bomb Suspect Fell in With Extremists.	24	31
convert	convert_nou	Abdallah Jones, a Welsh-born Muslim-convert terrorist affiliated with jihadists in Pakistan and elsewhere.	36	43
convert	convert_nou	The gunman in the military recruiting center attack, Abdul Hakim Mujahid Muhammad, was black, a Muslim convert, anti-military, and anti-American.	103	110
convert	convert_nou	He was born about the close of the sixth century, and became a convert to Judaism about 615.	63	70
convert	convert_nou	On April 1, 1984, she married the widowed German convert Abdulkarim Grimm (1933-2009) and moved to Hamburg with him.	49	56
convert	convert_nou	The invited speaker that year was Orsetes Brownson, a philosopher and Catholic convert.	79	86
convert	convert_nou	Pu Thuam Hang, chief of Khuasak, was the first Christian convert among the Zomi (Chin) in Chin State, Burma.	57	64
convert	convert_nou	Petrus Alphonsi, a Spanish Jewish convert to Christianity, popularized this tale in Europe in his collection Disciplina Clericalis.	34	41
convert	convert_nou	He is a convert to Roman Catholicism.	8	15
convert	convert_nou	Another important convert was Baksaday-Dorji, the grandson of Ayuka Khan who adopted the Christian name, Peter Taishin.	18	25
convert	convert_nou	In Ogden, Utah L.J. meets and marries Mary Dee, daughter of a Mormon convert from the Netherlands.	69	76
convert	convert_vrb	The reason for this murder was because she had refused to convert to Zoroastrianism and wanted to stay Christian.	58	65
convert	convert_vrb	It is difficult to convert mooney viscosity to other units because it is measured in torque.	19	26
convert	convert_vrb	"It can convert into a muzzle, a plastic blue bucket filled with water, and a ""magic hand."""	7	14
convert	convert_vrb	The option exists to convert a RRSP into a RRIF anytime on or before an individual reaches their 71st year.	21	28
convert	convert_vrb	It can also cyclize 2-aminoalcohols to aziridines and to convert α,β-unsaturated carboxylic acids to α,β-unsaturated bromides.	57	64
convert	convert_vrb	Following the end of the war, the Society helped convert America's wartime industry into a producer of consumer goods.	49	56
convert	convert_vrb	She attempts to convert Gowanus into a new, gentrified neighborhood called Boerum Hill.	16	23
convert	convert_vrb	Some reports also show that many of the Chinese Indonesians minority convert to Christianity.	69	76
convert	convert_vrb	It is nothing more than a disguised effort to missionize Jews and convert them to Christianity.	66	73
convert	convert_vrb	The company started to convert former passenger aircraft into freighters in 1996.	23	30
convert	convert_vrb	After this battle the players agreed to convert the game to a Diplomacy-variant rule base.	40	47
convert	convert_vrb	The dispute prompted the family to move again, to Fort Wayne, and convert to the Presbyterian church.	66	73
convert	convert_vrb	He attempted, without success, to convert many of his Orthodox subjects to Catholicism by force.	34	41
convert	convert_vrb	"Software ""translators"" could convert documents between WordStar and MacWrite, among others."	29	36
convert	convert_vrb	Keep can convert text notes into checklists.	9	16
convert	convert_vrb	In 1922, Mark Benson was granted a patent for a boiler designed to convert water into steam at high pressure.	67	74
convert	convert_vrb	The first step is to convert P1 and P2 into their equivalent weak formulations.	21	28
convert	convert_vrb	Schlumberger Chart SP-2 can then be used to convert Rwe to obtain Rw.	44	51
convert	convert_vrb	Together with Katerina, Hector was aiming to convert the Philippine democratic system into a dynastic reign of monarchs.	45	52
convert	convert_vrb	Later that year the IJN decided to convert her to an escort carrier, matching her sisters Taiyo and Un'yo.	35	42
convert	convert_vrb	His bride, however, was reluctant to convert.	37	44
convert	convert_vrb	Similar reactions are used industrially to convert cyclic siloxanes to linear polymers.	43	50
convert	convert_vrb	The One-armed Boxer then proceeds to convert a coffin-maker's shop into an elaborate trap.	37	44
convert	convert_vrb	Haxe can automatically convert miles to kilometers, but not the reverse.	23	30
convert	convert_vrb	This had to happen when the bank (Lloyds) refused Blacks' offer to convert them into Blacks and Millets stores.	67	74
convert	convert_vrb	They were required to formally convert to be accepted as Jews, because their history was not documented.	31	38
convert	convert_vrb	From 2005 university colleges were allowed to convert into universities if they met certain requirements.	46	53
convert	convert_vrb	Existing treatment plants use bacteria that convert ammonium into nitrate.	44	51
convert	convert_vrb	People and non-governmental organisations are pressing hard to convert it into an wildlife sanctuary.	63	70
convert	convert_vrb	Bahrain was one of the earliest areas to convert to Islam (AD 628).	41	48
convert	convert_vrb	Johnson Motor Wheel was a kit to convert a bicycle into a motorized bicycle.	33	40
convert	convert_vrb	Domestic biogas plants convert livestock manure and night soil into biogas and slurry, the fermented manure.	23	30
convert	convert_vrb	It takes 30 minutes to convert the aircraft on ATR 42, while for ATR 72, it takes 45 minutes.	23	30
convert	convert_vrb	NOGS succeeded in Vietnam, but funds to convert more aircraft were not approved.	40	47
convert	convert_vrb	The second part is of those writings inviting other rulers and kings to convert to Islam.	72	79
convert	convert_vrb	The points earned in qualifying runs convert to additional seconds on the solo run timer.	37	44
convert	convert_vrb	Multiplication by attaches vortices to each electron to convert it into a composite fermion.	56	63
convert	convert_vrb	These destabilizing tactics eventually forced the LMU to convert to a pure gold standard for its currency (in 1878).	57	64
convert	convert_vrb	Actuators or solenoids which convert the control unit's electrical output signal into mechanical control movement.	29	36
convert	convert_vrb	The Rams couldn't convert on fourth down of their following drive and the Packers took over own downs.	18	25
convert	convert_vrb	The conversion part comes in when they plan to have Gallicanus convert to Christianity.	63	70
convert	convert_vrb	Church leaders and Christian communities received letters warning them to convert to Islam or face suicide bombings.	74	81
convert	convert_vrb	He was one of the few pagan leaders of the Carantanians to convert to Christianity.	59	66
convert	convert_vrb	When the Spaniards arrived in the island one of their first missions was to convert the Tainos into Christianity.	76	83
convert	convert_vrb	Her Muslim older brother tried in vain to convert Flora to Islam, eventually surrendering his sister to the authorities.	42	49
convert	convert_vrb	Any overseas national attempting to acquire Saudi nationality must convert to Islam.	67	74
convert	convert_vrb	Even if a signal is sent interlaced, an HDTV will convert it to progressive scan.	50	57
convert	convert_vrb	Typical pyrolysis processes require a water content of less than 40% to suitably convert the biomass to bio-oil.	81	88
convert	convert_vrb	It also catalyzes other reactions that convert enol ethers, dithioacetals, and vinyl sulfides to olefins.	39	46
convert	convert_vrb	There are plans to convert it into a museum.	19	26
convert	convert_vrb	After a preaching tour, which lasted some months, he went to the Dutch Republic, hoping to convert the Dutch.	91	98
convert	convert_vrb	Techniques from control theory convert the task into commands that drive the actuators.	31	38
convert	convert_vrb	Jack does not need to eat, as he can convert air pollution into nourishment.	37	44
convert	convert_vrb	However, she made known to Sebastian her desire to convert to the Church.	51	58
convert	convert_vrb	He became the first kicker in Super Bowl history to convert three field goals of 40 yards or more.	52	59
convert	convert_vrb	Captiva Software, also announced in October 2005, added image capture and scanning technologies to convert paper-based documents into digital formats.	99	106
convert	convert_vrb	In both the WO-1 and 3153A strains, the different phases convert spontaneously to the others at a low frequency.	57	64
convert	convert_vrb	The combination of manganese dioxide, cyanide, acetic acid and methanol will convert the aldehyde to a methyl ester.	77	84
convert	convert_vrb	Convert the whole number to an improper fraction with the same denominator as the fractional part,.	0	7
convert	convert_vrb	The military issued field conversion kits (T17 and T18) to convert an M1 to an M2.	59	66
convert	convert_vrb	Photochemical carbon dioxide reduction harnesses solar energy to convert CO₂ into higher-energy products.	65	72
convert	convert_vrb	In 1632, this order was expelled from Eritrea for wanting to convert the country (an Orthodox country) to Catholicism.	61	68
convert	convert_vrb	Biocatalysts can be exploited to convert these waste gases to chemicals and fuels as, for example, ethanol.	33	40
convert	convert_vrb	Post Brothers is expected to convert the former office building into residential apartments or condominiums.	29	36
convert	convert_vrb	Lockheed Martin also received a contract to convert existing M30 DPICM GMLRS rockets to the XM31 unitary variant.	44	51
convert	convert_vrb	Senders convert their messages written with Chinese characters to a sequence of digits according to the codebook.	8	15
convert	convert_vrb	It has the ability to convert carbohydrates to butyrate, acetate, carbon dioxide, and molecular hydrogen through fermentation.	22	29
convert	convert_vrb	To compare accurately, you must convert all dollar amounts into same-year dollars.	32	39
convert	convert_vrb	These religions are not permitted to proselytize or to try and convert others into their faith.	63	70
convict	convict_nou	Without naming Seniloli, the Military expressed its opposition to any coup-convict being appointed President or Vice-President.	75	82
convict	convict_nou	In October 1828 Alonzo was recorded as serving as a convict ship at Portsmouth.	52	59
convict	convict_nou	The mother of the convict, 80-year-old Alisa Mokhova, denies that she knew anything about what happened.	18	25
convict	convict_nou	Billy Blue or William Blue (c. 1767 - 7 May 1834) was an Australian convict.	68	75
convict	convict_nou	Tracks 4 and 10 were written for the Buster Keaton film Convict 13 (1920).	56	63
convict	convict_nou	Premachandran tells her that she doesn't know anything about him and that he is an ex-convict in a murder case.	86	93
convict	convict_nou	In 2002 an ex-convict was sentenced for triple murder.	14	21
convict	convict_nou	The first convict confesses to stealing food from the smithy.	10	17
convict	convict_nou	Meanwhile, Henderson was looking for a site to build a permanent convict establishment.	65	72
convict	convict_nou	The prosecutor will order the police to arrest the convict, in order to execute the earlier written substitute imprisonment.	51	58
convict	convict_nou	ReferencesBateson, Charles, The Convict Ships, 1787-1868, Sydney, 1974.	32	39
convict	convict_nou	Nearing shore the convict finds himself hemmed in — pursuers on water and constables on land.	18	25
convict	convict_nou	In the one-shot Dynamo 5 Holiday Special 2010, the team confronted Lumina, the daughter of escaped supervillain convict Luminex.	112	119
convict	convict_nou	The first arc introduces Walker saving a young girl named Calista from a convict with a jetpack.	73	80
convict	convict_nou	On 10 July 1831, Nunukul warriors at Dunwich killed James Wood, a convict, in retribution for 'injuries suffered from Europeans'.	66	73
convict	convict_nou	HMP Rochester was founded in 1870 as Borstal Prison, which was a large convict prison.	71	78
convict	convict_nou	Mascia-Lees, Frances E. Review of The Convict and the Colonel in American Anthropologist 101(1999):217-218.	38	45
convict	convict_nou	"Watermeyer had been an early supporter of the anti-government ""popular party"" since the 1850 Convict Crisis."	93	100
convict	convict_nou	Elena Kong as Yuen Kwan-lam (袁君嵐), an ex-convict who was sentenced to twenty years of prison.	47	54
convict	convict_nou	Amanda began a romantic relationship with Frank Cameron, a convict-turned-FBI-agent who was sent to infiltrate the Cory household.	59	66
convict	convict_nou	An ex-convict (George Raft) marries a department-store co-worker (Sylvia Sidney), unaware she's on parole.	6	13
convict	convict_nou	Finally, courts make their decision whether to imprison the convict or to let him or her off on probation.	60	67
convict	convict_nou	Well, if you're Moose Flanagan, you ask the most notorious convict of them all, Al Capone, for help.	59	66
convict	convict_nou	The end of convict leasing did not mean the end of convict labor, however.	51	58
convict	convict_nou	However the eldest Gipsy, a convict, judged safer to bring Strachey to the mayor.	28	35
convict	convict_nou	After the expiry of his sentence, he became the first ex-convict in Western Australia to be appointed a teacher.	57	64
convict	convict_nou	"In ""The Convict"", Kevin implies that he is involved in insider trading, but wasn't aware of the legal implications."	8	15
convict	convict_nou	This section was constructed in 1867 using convict labour, with the road base made from sections of tree trunks.	43	50
convict	convict_nou	There was no actual fighting, however; a truce was negotiated and Micheltorena agreed to dismiss his convict troops.	101	108
convict	convict_nou	Lynton is best known as the site of the former Lynton Convict Depot.	54	61
convict	convict_nou	With his mother absent, Chengcai was raised by his ex-convict father (Huang Yiliang), whose fighting skills he inherited.	54	61
convict	convict_nou	These allotments were later transferred to the permanent Convict Hiring Depot, 4 kilometres (2.5 mi) upstream of the town.	57	64
convict	convict_nou	Eventually, Carter's inability to exercise tact when dealing with the clergy led to his dismissal from the convict service.	107	114
convict	convict_nou	The bridge was designed by the firm of architect and former convict James Blackburn.	60	67
convict	convict_nou	Port Arthur is a small town and former convict settlement on the Tasman Peninsula, in Tasmania, Australia.	39	46
convict	convict_nou	Mary Bryant, the famous female convict and escapee, transported on the First fleet.	31	38
convict	convict_nou	The convict demands he change it, but Antoine passes out, so the convict does.	65	72
convict	convict_nou	In addition, four free women accompanied their convict husbands, together with two children.	47	54
convict	convict_nou	John Arscott: John Arscott's hopelessness as a convict becomes apparent in Act Two, Scene One.	47	54
convict	convict_nou	He also won positive notices for his role in 1998's Out of Sight, playing an untrustworthy banker and ex-convict.	105	112
convict	convict_nou	Therefore, Ashcroft is a descendant of a First Fleeter and a descendant of a convict.	77	84
convict	convict_nou	The Convict Establishment was based in Fremantle, so Jewell was appointed to supervise the construction.	4	11
convict	convict_nou	It tells the true story of Wally Mellish, an ex-convict in 1960s Australia.	48	55
convict	convict_nou	The Albany Convict Gaol was established in 1852 for imperial convicts transported to Albany as skilled labourers.	11	18
convict	convict_nou	In 1860 the new town of Newcastle, located around the Convict Hiring Depot, had been surveyed.	54	61
convict	convict_nou	Georgia ended the convict lease system in 1908.	18	25
convict	convict_nou	Lichtenstein, Alex Twice the Work of Free Labor: The Political Economy of Convict Labor in the New South.	74	81
convict	convict_nou	The home faced Lavender Bay, then commonly called Hulk Bay, after the convict hulks moored nearby.	70	77
convict	convict_nou	ReferencesBateson, Charles (1969) The Convict Ships, 1787-1868 (Glasgow: Brown, Son & Ferguson).	38	45
convict	convict_nou	"His father (reportedly a freed convict) made a precarious living from sideshow ""take-on-all-comers"" boxing and gambling."	31	38
convict	convict_nou	As prison populations grew, the informal convict code no longer sufficed to coordinate and protect inmates.	41	48
convict	convict_nou	He ordered a review of the bookkeeping practices and greater accountability to be applied to the state's convict lease system.	105	112
convict	convict_nou	Lord was the seventh child of the ex-convict and pioneering entrepreneur Simeon Lord.	37	44
convict	convict_nou	He immediately imposed strict cost-cutting measures, including using convict labour instead of contract labour whenever possible.	69	76
convict	convict_nou	Despite his previous convict status, James also became a resident district constable.	21	28
convict	convict_nou	In 1842, it was renamed the Queen's Prison, and later became the Southwark Convict Prison.	75	82
convict	convict_nou	"The film starts off with Calvin ""Babyface"" Simms (Marlon Wayans) who is a very short convict."	85	92
convict	convict_nou	For instance, convict /ˈkɒnvɪkt/ and convict /kenˈvɪkt/ can be spelled 𐑒𐑪𐑯𐑝𐑦𐑒𐑑 and 𐑒𐑩𐑯𐑝𐑦𐑒𐑑 respectively.	14	21
convict	convict_nou	Arkin O'Brien is an ex-convict working as a handyman.	23	30
convict	convict_nou	Previously the property held several private plantations that used convict leasing.	67	74
convict	convict_nou	Nick Gomez as Tomas, a violent convict and the leader of a group of prisoners who survived within the prison.	31	38
convict	convict_nou	However, the group are unaware that an employee, Fred, is an ex-convict and living in the basement of the store.	64	71
convict	convict_nou	The town has a monument that indicates that the highway was built by convict labor in 1925.	69	76
convict	convict_nou	"Benjamin Franklin called convict transportation ""an insult and contempt, the cruellest, that ever one people offered to another."""	25	32
convict	convict_nou	He worked the land with convict labour supplying timber to the colony of New South Wales.	24	31
convict	convict_nou	The powerful squatting fraternity who were heavily reliant on cheap labour advocated a renewal of convict transportation.	98	105
convict	convict_nou	Archaeological zones and sub-surface remains of varying levels of significance are found throughout the area of the convict grant.	116	123
convict	convict_nou	His early activity involved lobbying for increased European immigration, and the widespread anti-convict agitation of 1849.	97	104
convict	convict_nou	The tracks were also not capable of handling the load of repeated convoys, despite deployment of convict labor for repairs.	97	104
convict	convict_nou	It had been built by the provincial administration using convict labour.	57	64
convict	convict_vrb	However, to convict Toushin for distributing extremely violent films would be a misuse of obscenity law.	12	19
convict	convict_vrb	The eight black jury members voted to acquit, and the four whites voted to convict.	75	82
convict	convict_vrb	However, the committee could not make a recommendation on whether to convict the impeached official.	69	76
convict	convict_vrb	His testimony was important to convict the German officers and guards from Mauthausen.	31	38
convict	convict_vrb	Indeed, their careers were not wildly different from those of the thirty-five senators who voted to convict Andrew Johnson.	100	107
convict	convict_vrb	This is so because a grand jury cannot convict a defendant.	39	46
convict	convict_vrb	The jury took less than a day to convict Congressman-elect Berger and his four remaining codefendants.	33	40
convict	convict_vrb	"The judge, Sir Anthony McCowan, ""had indicated that the jury should convict him."""	68	75
convict	convict_vrb	During a five-day trial the Senate deemed him a lobbyist not protected by lawyer-client privilege and voted to convict him.	111	118
convict	convict_vrb	The Senate on its own determines whether there is sufficient evidence to convict and the required affirmative vote for conviction.	73	80
coordinate	coordinate_adj-nou	Unlike TiO₂, which features six-coordinate Ti in all phases, monoclinic zirconia consists of seven-coordinate zirconium centres.	34	44
coordinate	coordinate_adj-nou	Each cell can be identified by integer coordinates, where the coordinate runs along the pillars, and and span each layer.	62	72
coordinate	coordinate_adj-nou	New space-division multiple access (SDMA) engine: multi-user MIMO, network MIMO, coordinate multi-point transmission (COMP) (Cooperative diversity), remote radio equipments (RRE).	81	91
coordinate	coordinate_adj-nou	The syntactic units of sentences are often either subordinate or coordinate to each other.	65	75
coordinate	coordinate_adj-nou	"Wirral 2011 Census: Raby Mere, Metropolitan Borough of Wirral, retrieved 6 December 2014""Coordinate Distance Calculator""."	89	99
coordinate	coordinate_adj-nou	Eliminations from the three-coordinate compounds are faster.	28	38
coordinate	coordinate_adj-nou	The numbering system thus resembles a Cartesian coordinate system.	48	58
coordinate	coordinate_adj-nou	In the Cartesian coordinate system, x is used to refer to the horizontal axis.	17	27
coordinate	coordinate_adj-nou	In addition, we can formulate force using the concept of coordinate transformations between different coordinate systems.	57	67
coordinate	coordinate_adj-nou	In Schwarzschild's original paper, he put what we now call the event horizon at the origin of his coordinate system.	98	108
coordinate	coordinate_adj-nou	The relationship of those segments in three-dimensional space using a spherical coordinate system.	80	90
coordinate	coordinate_adj-nou	The RB-1 was the forerunner of modern machine vision-based Coordinate-measuring machines (CMMs).	59	69
coordinate	coordinate_adj-nou	The two-coordinate description of the plane was later generalized into the concept of vector spaces.	8	18
coordinate	coordinate_adj-nou	This information is needed in order to accurately transform data from one coordinate system to another.	74	84
coordinate	coordinate_adj-nou	For other coordinate systems the coordinates curves may be general curves.	10	20
coordinate	coordinate_adj-nou	Go games are recorded with a simple coordinate system.	36	46
coordinate	coordinate_adj-nou	Hence the ostensible fibre bundle TᵏM admits a local trivialization in each coordinate neighborhood.	78	88
coordinate	coordinate_adj-nou	Moon, Parry; Spencer, Domina Eberle (1961), Field Theory Handbook: including coordinate systems, differential equations, and their solutions, Springer, ISBN 0-387-02732-7.	77	87
coordinate	coordinate_adj-nou	This is achieved by defining coordinate patches: subsets of the manifold which can be mapped into n-dimensional Euclidean space.	29	39
